Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-03-27,40549.899495404,41080.026465141,40330.022580011,41039.964145811,945200.02170029
2018-03-28,40480.023357037,40999.901826481,40170.083863307,40899.901308464,936200.49031942
2018-03-29,41599.904934585,42439.971398054,41489.966476889,41939.968807967,850900.23418951
2018-03-30,42289.970621028,43310.162241173,42230.03242234,43239.975542192,872700.80925876
2018-04-02,43110.161205139,43839.978650296,42880.035789453,43430.038638548,641699.84988371
2018-04-03,42580.034235401,44070.104065982,42570.096295722,43889.978909305,966099.32343829
2018-04-04,45099.923065191,45330.048480877,44530.044336738,45199.923583208,1156399.6936494
2018-04-05,45880.051329972,46559.868516121,45559.863335948,46499.930317433,947099.16786238
2018-04-06,46399.929799416,46770.118052449,46020.114167319,46270.115462363,1018900.6099185
2018-04-09,46339.991600729,46820.118311458,46180.052884024,46620.117275423,651900.11304458
2018-04-10,46120.114685337,46980.057028162,45949.927468338,46549.930576442,723400.16466194
2018-04-11,46599.930835451,46749.931612477,45509.863076939,45949.927468338,699000.74105518
2018-04-12,46270.115462363,46899.932389503,46180.052884024,46899.932389503,594699.6853527
2018-04-13,48499.94067778,48540.002997109,46720.11779344,46870.118570466,1348599.532021
2018-04-16,46820.118311458,46870.118570466,45749.926432304,45789.988751633,781498.64570175
2018-04-17,46030.052106998,46680.055474111,45949.927468338,46439.992118746,714999.87217691
2018-04-18,46670.117534432,47909.875509354,46670.117534432,47420.121419562,828899.05415943
2018-04-19,47530.059877258,47759.874732328,46999.93290752,47099.933425537,681999.87312261
2018-04-20,47330.058841223,47720.122973614,47120.11986551,47509.873437285,559099.22776923
2018-04-23,47280.058582214,47549.935756615,47039.99522685,47099.933425537,357898.89202179
2018-04-24,47570.122196588,47799.937051658,47059.871106207,47059.871106207,583199.51492557
2018-04-25,46509.868257112,47530.059877258,46509.868257112,47059.871106207,595799.63165479
2018-04-26,47270.120642536,47620.122455596,47139.995744867,47289.996521893,819001.1474323
2018-04-27,47809.874991337,48420.126599735,47609.873955303,48209.877063406,652298.74697959
2018-05-01,48530.065057431,49040.005587196,48359.877840432,49040.005587196,599598.24597731
2018-05-02,49480.069978595,49749.947152996,48970.12944883,49220.130743873,579399.29061139
2018-05-07,49499.945857953,49520.132297925,48599.941195797,48849.94249084,494000.18099356
2018-05-08,48499.94067778,48920.129189821,47939.999889006,48730.066093465,537299.61869498
2018-05-09,48640.003515127,48999.943267866,48459.87835845,48849.94249084,332300.02462836
2018-05-10,48899.942749849,49199.944303901,48570.127376761,48649.941454806,320300.11278998
2018-05-11,48949.943008857,49109.881725562,48470.126858743,49030.067647517,533699.03334663
2018-05-14,48949.943008857,49120.130225856,48570.127376761,48590.003256118,371599.27705143
2018-05-15,48999.943267866,49359.883020605,48909.880689528,49180.068424543,448099.31876797
2018-05-16,48999.943267866,49080.067906526,48449.940418771,48499.94067778,456100.97731799
2018-05-17,48690.003774135,48890.00481017,48590.003256118,48599.941195797,377200.76003478
2018-05-18,48899.942749849,49099.943785883,48559.878876467,48830.066611483,467199.61582513
2018-05-21,48830.066611483,49490.007918274,48799.942231831,49299.944821918,343200.63416131
2018-05-22,49449.945598944,49820.133851977,49290.006882239,49570.132556934,373199.60876143
2018-05-23,49120.130225856,49190.006364222,47809.874991337,47830.06143131,738900.52036741
2018-05-24,47730.060913292,47959.875768363,46880.056510145,47320.120901544,559799.57414131
2018-05-25,47299.934461572,47889.999629997,46730.055733119,47730.060913292,446100.35312296
2018-05-28,47909.875509354,48330.064021396,47720.122973614,48330.064021396,345899.30218175
2018-05-29,48459.87835845,48470.126858743,47539.997816936,47920.124009648,421299.3975962
2018-05-30,46909.870329181,47599.936015624,46780.055992128,47449.935238598,681500.45370969
2018-05-31,47880.061690318,48359.877840432,47530.059877258,47730.060913292,946401.71947529
2018-06-01,47120.11986551,47520.121937579,46680.055474111,46909.870329181,548300.36970918
2018-06-04,47199.933943555,47359.872660259,46749.931612477,47080.05754618,381398.9742873
2018-06-05,46580.054956093,47209.871883233,46099.928245364,47139.995744867,623699.49912864
2018-06-06,47489.997557928,48499.94067778,47220.120383527,48309.877581424,608698.56283609
2018-06-07,48549.940936788,49490.007918274,48549.940936788,49190.006364222,793498.2355418
2018-06-08,49499.945857953,49499.945857953,48799.942231831,49049.943526875,983599.9327821
2018-06-11,49280.068942561,50280.074122734,49149.944044892,50270.136183055,525001.21440284
2018-06-12,50670.138255124,51109.892085908,50159.887164744,50840.014911508,719800.54530859
2018-06-13,50709.890013839,50790.014652499,50330.074381742,50409.888459787,373399.5697256
2018-06-14,50199.949484074,50699.95207416,49940.010249352,50159.887164744,505699.34638986
2018-06-15,50880.077230837,51680.081374976,50599.951556143,51349.955441273,740999.62749368
2018-06-18,51040.015947542,51720.143694306,51009.891567891,51409.89363996,441398.5334792
2018-06-19,51380.079820924,51390.017760603,50020.134888012,50049.948707048,615200.67515402
2018-06-20,50499.951038126,51830.082152002,50399.950520108,51790.019832672,614201.51432985
2018-06-21,51459.893898969,53420.1525006,51209.892603926,52930.087850192,952199.29944282
2018-06-22,51999.958808385,53070.15068754,51790.019832672,52140.021645733,830199.92742068
2018-06-25,52009.896748064,52540.023717802,51520.142658271,51640.019055646,477000.27905599
2018-06-26,50959.891308882,51030.078007863,50190.011544395,50209.887423753,695401.12170183
2018-06-27,49990.01050836,50690.014134482,49880.072050664,50580.075676786,551399.60365462
2018-06-28,50670.138255124,50980.077748855,49690.008954309,50940.015429525,647199.58139415
2018-06-29,51159.892344917,51449.95595929,50640.013875473,50909.891049874,605599.65088899
2018-07-02,50799.952592178,50799.952592178,49249.944562909,49449.945598944,610301.14853442
2018-07-03,49870.134110986,50380.074640751,49009.881207545,49799.947412005,745899.79810994
2018-07-04,48699.941713814,49430.069719586,48430.064539413,48730.066093465,730999.96929364
2018-07-05,48620.127635769,48709.879653493,47259.872142242,47499.935497606,931399.81718774
2018-07-06,47639.998334954,48090.000666032,46899.932389503,47759.874732328,808599.95731227
2018-07-09,48099.93860571,48830.066611483,47709.87447332,47749.93679265,593099.35364269
2018-07-10,47880.061690318,48909.880689528,47720.122973614,48559.878876467,621900.17244947
2018-07-11,47959.875768363,48280.063762387,47320.120901544,47420.121419562,648599.30814332
2018-07-12,47730.060913292,49290.006882239,47530.059877258,49230.068683552,709898.77460148
2018-07-13,51549.956477307,53149.964765584,50999.953628212,52649.962175498,1596998.383272
2018-07-17,52680.086555149,53120.150946548,52009.896748064,52809.900892203,711601.17978272
2018-07-18,53909.906590393,54399.971240801,53670.153795643,53880.092771357,750498.57828747
2018-07-19,54199.970204766,54509.909698497,52669.838054855,52669.838054855,775899.73870506
2018-07-20,52609.899856168,53540.028897975,52270.146543401,52930.087850192,845700.28312616
2018-07-23,51580.080856959,51649.956995325,49699.946893987,49899.947930022,1391499.0477941
2018-07-24,50449.950779117,50449.950779117,49109.881725562,49770.133592968,781199.83124966
2018-07-25,49270.131002882,49670.133074951,48709.879653493,49420.131779908,644499.94737872
2018-07-26,48070.124786674,48890.00481017,47809.874991337,48520.127117752,912999.222506
2018-07-27,48649.941454806,48890.00481017,48090.000666032,48680.065834457,562099.28622841
2018-07-30,48390.002220084,48459.87835845,47620.122455596,47730.060913292,601898.9240594
2018-07-31,47570.122196588,49320.13126189,47109.871365216,48749.941972823,1343300.4054714
2018-08-01,48270.125822709,48499.94067778,47889.999629997,48040.000407023,615099.56767778
